 ITER          Simple-error          Ya-error
   425      0.76496053E-05      0.34867564E+00
   426      0.76496726E-05      0.34859458E+00
   427      0.76495962E-05      0.34851730E+00
   428      0.76495498E-05      0.34843758E+00
   429      0.76494962E-05      0.34836182E+00
   430      0.76495726E-05      0.34828401E+00
   431      0.76497454E-05      0.34820825E+00
   432      0.76498345E-05      0.34813294E+00
   433      0.76500228E-05      0.34805739E+00
   434      0.76501601E-05      0.34798336E+00
   435      0.76501929E-05      0.34790888E+00
   436      0.76501701E-05      0.34783760E+00
   437      0.76501101E-05      0.34776565E+00
   438      0.76501083E-05      0.34769350E+00
   439      0.76501401E-05      0.34762371E+00
   440      0.76501719E-05      0.34755513E+00
   441      0.76501674E-05      0.34748468E+00
   442      0.76501046E-05      0.34741431E+00
   443      0.76500246E-05      0.34734625E+00
   444      0.76499282E-05      0.34728041E+00
   445      0.76497790E-05      0.34721407E+00
   446      0.76495262E-05      0.34714788E+00
   447      0.76492470E-05      0.34708229E+00
   448      0.76491497E-05      0.34701741E+00
   449      0.76490969E-05      0.34695366E+00
   450      0.76491342E-05      0.34689003E+00
   451      0.76491233E-05      0.34682745E+00
   452      0.76490242E-05      0.34676662E+00
   453      0.76489969E-05      0.34670401E+00
   454      0.76489641E-05      0.34664461E+00
   455      0.76489086E-05      0.34658387E+00
   456      0.76488459E-05      0.34652638E+00
   457      0.76488095E-05      0.34646609E+00
   458      0.76487886E-05      0.34640783E+00
   459      0.76485740E-05      0.34635115E+00
   460      0.76484848E-05      0.34629434E+00
   461      0.76484102E-05      0.34623826E+00
   462      0.76482347E-05      0.34618312E+00
   463      0.76479437E-05      0.34612861E+00
   464      0.76476845E-05      0.34607530E+00
   465      0.76474289E-05      0.34602192E+00
   466      0.76471752E-05      0.34597084E+00
   467      0.76471597E-05      0.34591791E+00
   468      0.76470624E-05      0.34586746E+00
   469      0.76469305E-05      0.34581605E+00
   470      0.76468814E-05      0.34576678E+00
   471      0.76466858E-05      0.34571734E+00
   472      0.76464730E-05      0.34566668E+00
   473      0.76462638E-05      0.34562054E+00
   474      0.76461538E-05      0.34557277E+00
   475      0.76461629E-05      0.34552535E+00
   476      0.76460856E-05      0.34548190E+00
   477      0.76459937E-05      0.34543487E+00
   478      0.76458755E-05      0.34539139E+00
   479      0.76456345E-05      0.34534758E+00
   480      0.76453571E-05      0.34530294E+00
   481      0.76450497E-05      0.34526119E+00
   482      0.76446368E-05      0.34521946E+00
   483      0.76443685E-05      0.34517851E+00
   484      0.76441538E-05      0.34513721E+00
   485      0.76440265E-05      0.34509736E+00
   486      0.76439856E-05      0.34505644E+00
   487      0.76439683E-05      0.34501895E+00
   488      0.76438846E-05      0.34498015E+00
   489      0.76438118E-05      0.34494337E+00
   490      0.76436600E-05      0.34490350E+00
   491      0.76436099E-05      0.34486920E+00
   492      0.76435472E-05      0.34483358E+00
   493      0.76435836E-05      0.34479883E+00
   494      0.76435044E-05      0.34476292E+00
   495      0.76433353E-05      0.34472981E+00
   496      0.76431861E-05      0.34469631E+00
   497      0.76430242E-05      0.34466290E+00
   498      0.76426986E-05      0.34463063E+00
   499      0.76423121E-05      0.34459853E+00
   500      0.76420856E-05      0.34456795E+00
   501      0.76315491E-05      0.34463528E+00
